"ProductID,ProductName,Category,Price,Brand"
"P001,Trek Backpack 40L,Backpacks,85,Osprey"
"P002,Trek Backpack 60L,Backpacks,120,Osprey"
"P003,Ultralight Tent 2P,Tents,150,REI"
"P004,Family Camping Tent 4P,Tents,250,REI"
"P005,Sleeping Bag Basic,Accessories,45,Columbia"
"P006,Sleeping Bag Pro,Accessories,90,North Face"
"P007,Portable Cooking Kit,Accessories,60,Coleman"
"P008,Hiking Boots Men,Footwear,110,Merrell"
"P009,Hiking Boots Women,Footwear,105,Salomon"
"P010,LED Camping Lantern,Accessories,35,Black Diamond"
"P011,Trekking Poles Set,Accessories,70,Black Diamond"
"P012,Hydration Pack 2L,Accessories,55,CamelBak"
