OrderID,CustomerID,OrderDate,TotalAmount,Status
O001,C001,2026-04-10,205,Shipped
O002,C002,2026-04-11,150,Delivered
O003,C003,2026-04-12,250,OutForDelivery
O004,C004,2026-04-12,45,Delivered
O005,C005,2026-04-13,120,Shipped
O006,C006,2026-04-13,90,Cancelled
O007,C007,2026-04-14,180,Delivered
O008,C008,2026-04-14,60,Shipped
O009,C009,2026-04-15,300,Pending
O010,C010,2026-04-15,110,Delivered
O011,C011,2026-04-16,85,Packed
O012,C003,2026-04-16,200,Shipped
O013,C012,2026-04-16,70,Delivered
O014,C001,2026-04-17,150,Confirmed
